question,type,qno
"How often do you have trouble wrapping up the final details of a project, once the challenging parts have been done?",a,1
How often do you have difficulty getting things in order when you have to do a task that requires organization?,a,2
How often do you have problems remembering appointments or obligations?,a,3
"When you have a task that requires a lot of thought, how often do you avoid or delay getting started?",a,4
How often do you fidget or squirm with your hands or feet when you have to sit down for a long time?,a,5
"How often do you feel overly active and compelled to do things, like you were driven by a motor?",a,6
How often do you make careless mistakes when you have to work on a boring or difficult project?,b,7
How often do you have difficulty keeping your attention when you are doing boring or repetitive work?,b,8
"How often do you have difficulty concentrating on what people say to you, even when they are speaking to you directly?",b,9
How often do you misplace or have difficulty finding things at home or at work?,b,10
How often are you distracted by activity or noise around you?,b,11
How often do you leave your seat in meetings or other situations in which you are expected to remain seated?,b,12
How often do you feel restless or fidgety?,b,13
How often do you have difficulty unwinding and relaxing when you have time to yourself?,b,14
How often do you find yourself talking too much when you are in social situations?,b,15
"When you are in a conversation, how often do you find yourself finishing the sentences of the people you are talking to, before they can finish them themselves?",b,16
How often do you have difficulty waiting your turn in situations when turn taking is required?,b,17
How often do you interrupt others when they are busy?,b,18
